Title,Description,Link
anti-corruption layer,set of Façades, Adapters and Translators to isolate a model from corruption by other models it needs to integrate with,https://dev.to/asarnaout/the-anti-corruption-layer-pattern-pcd
signalR,library for ASP.NET that allows server code to send asynchronous notifications to client-side web applications,https://dotnet.microsoft.com/apps/aspnet/signalr
archunit,enforcing java architecture compliance,https://www.archunit.org/
tiny core linux packets,Index of /tinycorelinux/7.x/x86/tcz/,https://distro.ibiblio.org/tinycorelinux/7.x/x86/tcz/
repository,pattern used to manage the persistence of data objects,
aggregate,a cluster of domain objects that can be treated as a single unit,https://martinfowler.com/bliki/DDD_Aggregate.html
reactstrap,Easy to use React Bootstrap 4 components,https://reactstrap.github.io/
LXC,linux container,https://linuxcontainers.org/
serverfault.com,the Stack Overflow for server admins,https://serverfault.com/
linuxquestions dot org,a friendly and active Linux Community,LinuxQuestions.org
Hiring Without WhiteBoards,companies with better hiring processes,https://github.com/poteto/hiring-without-whiteboards
Project Euler,more difficult programming problems,https://projecteuler.net/
Interview Cake,coding job interview preparation,https://www.interviewcake.com/
StackShare,"Find the right developer tools and the companies that use them







",https://stackshare.io/
builtwith.com,Find out what websites are Built With,
USP,a factor that differentiates a product from its competitors,https://whatis.techtarget.com/definition/unique-selling-point-USP
docassemble,open-source expert system for guided interviews and document assembly,https://docassemble.org/
jupyter notebook,documents containing both code  and rich text content,https://jupyter.org
SLA ,service level agreement,
RDD,resilient distributed dataset,
Parquet,Parquet stores nested data structures in a flat columnar format,https://acadgild.com/blog/parquet-file-format-hadoop
deno, le nouveau nodeJS ?,https://www.jesuisundev.com/deno-le-nouveau-nodejs/
static factory method,a factory that lives inside the class we want an instance of,https://stackify.com/static-factory-methods/
,,https://dddcommunity.org/
Eric Evans,BDD,
YARN,Yet Another Resource Negotiator,
dataNode,nodes hosting data blocks, doing I/O work, executing work on data,https://hadoop.apache.org/docs/r1.2.1/hdfs_design.html#NameNode+and+DataNodes
nameNode,single master node managing HDFS filesystem,https://hadoop.apache.org/docs/r1.2.1/hdfs_design.html#NameNode+and+DataNodes
Hue,Hadoop gui,
Oozie,workflow scheduler for Hadoop,
HBase,distributed noSql database,
Flume,Flume is a distributed, reliable, and available service for efficiently collecting, aggregating, and moving large amounts of log data.,
Hive,a data warehouse software project built on top of Apache Hadoop for providing data query and analysis,
Pig,high-level platform for creating programs that run on Apache Hadoop,
mapReduce,a processing technique and a program model for distributed computing,
Viktor Mayer-Schönberger,Professor of Internet Governance and Regulation,https://en.wikipedia.org/wiki/Viktor_Mayer-Sch%C3%B6nberger?oldformat=true
denormalization,strategy used on a previously-normalized database to increase performance.,https://en.wikipedia.org/wiki/Denormalization?oldformat=true
PCI,Payment Card Industry Data Security Standard (PCI DSS),https://en.wikipedia.org/wiki/Payment_Card_Industry_Data_Security_Standard?oldformat=true
linkage attack,An attempt to de-anonymize private data by linking it to PII,
db-engines,Knowledge Base of Relational and NoSQL Database Management Systems,https://db-engines.com/en/
integer programming,a mathematical optimization or feasibility program in which some or all of the variables are restricted to be integers,https://en.wikipedia.org/wiki/Integer_programming?oldformat=true
SAS programming language,language used for statistical analysis,
TPU(tensor processing unit),An application-specific integrated circuit developed by Google for machine learning,
LIME,Local Interpretable Model-Agnostic Explanations,https://www.oreilly.com/learning/introduction-to-local-interpretable-model-agnostic-explanations-lime
RFM (customer value),method to analyze customer value : recency, frequency, monetary,https://en.wikipedia.org/wiki/RFM_(customer_value)?oldformat=true
data lakes,Any big data storage system designed to store raw data whose end use may not be known at time of collection,
dark data,data which is generated by normal computer networks but not typically analysed,
https://ergocanada.com,ergonomic office supplies,https://ergocanada.com
graph database,database that uses graph structures for semantic queries,https://en.wikipedia.org/wiki/Graph_database?oldformat=true
HDFS,The Hadoop Distributed File System,https://searchdatamanagement.techtarget.com/definition/Hadoop-Distributed-File-System-HDFS
Google Trends,listings of what is being searched for on Google,trends.google.com
a top 100 CS and programming books,,http://www.catonmat.net/blog/top-100-books-part-one/
cyber innovation hub,German cyber milit@ry,https://www.cyberinnovationhub.de/en/
SymbolSource,Your source for debugging symbols... and sources,http://www.symbolsource.org/Public/Home/VisualStudio
regex crossword,fantastic world of nerdy regex fun!,https://regexcrossword.com/
regex-coach,graphical application for Windows which can be used to experiment with (Perl-compatible) regular expressions interactively,http://www.weitz.de/regex-coach/
SASS,Syntatically Awesome Style Sheets (CSS with superpowers),https://sass-lang.com/
